Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-09-27,Colby Thicknesse,Josias Musasa,Yes,42.7,56.4,13.7,0.1281,134,Yes,Yes,1.34
2025-09-27,Luana Carolina,Michelle Montague,No,67.7,62.1,25.9,0.2422,-210,No,No,-1.0
2025-09-13,David Martinez,Rob Font,Yes,48.1,66.5,18.4,0.3302,108,Yes,Yes,1.08
2025-09-13,Jared Gordon,Rafa Garcia,No,56.5,57.0,13.5,0.1393,-130,No,No,-1.0
2025-09-13,Kelvin Gastelum,Dustin Stoltzfus,No,56.5,57.6,1.1,0.1521,-130,Yes,Yes,0.77
2025-09-06,Bolaji Oki,Mason Jones,No,59.7,53.5,9.2,0.0697,-148,No,No,-1.0
2025-09-06,Axel Sola,Rhys McKee,No,57.6,66.5,8.9,0.3303,-136,Yes,Yes,0.74
2025-09-06,William Gomis,Robert Ruchala,No,73.0,78.8,5.8,0.5764,-270,Yes,Yes,0.37
2025-09-06,Ante Delija,Marcin Tybura,Yes,50.5,53.7,3.2,0.0739,-102,Yes,Yes,0.98
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,89.5,21.8,0.7909,-210,Yes,Yes,0.48
2025-09-06,Trey Waters,Sam Patterson,No,66.0,58.1,19.9,0.162,-194,No,No,-1.0
2025-09-06,Brad Tavares,Robert Bryczek,Yes,37.3,70.0,3.3,0.3991,168,No,No,-1.0
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,Yes,47.2,73.5,16.6,0.4697,112,No,No,-1.0
2025-08-16,Carlos Prates,Geoff Neal,No,66.7,73.1,6.4,0.4616,-200,Yes,Yes,0.5
2025-08-16,Drakkar Klose,Edson Barboza,Yes,51.0,52.3,1.3,0.0465,-104,Yes,Yes,0.96
2025-08-09,Iasmin Lucindo,Angela Hill,No,63.2,72.6,9.4,0.4525,-172,Yes,Yes,0.58
2025-08-09,Christian Rodriguez,Andre Fili,Yes,32.8,73.3,1.8,0.4655,205,No,No,-1.0
2025-08-02,Danny Silva,Kevin Vallejos,No,78.9,52.5,27.5,0.0496,-375,No,No,-1.0
2025-08-02,Nick Klein,Andrey Pulyaev,No,55.8,64.7,16.7,0.2948,-126,No,No,-1.0
2025-07-19,Max Holloway,Dustin Poirier,No,55.0,66.0,11.0,0.319,-122,Yes,Yes,0.82
2025-06-28,Joshua Van,Brandon Royval,No,54.5,57.8,3.3,0.1569,-120,Yes,Yes,0.83
2025-06-28,Renato Moicano,Beneil Dariush,No,52.8,65.3,14.4,0.3069,-112,No,No,-1.0
2025-06-28,Felipe Lima,Payton Talbott,Yes,40.7,66.0,2.5,0.3193,146,No,No,-1.0
2025-06-28,Jose Delgado,Hyder Amil,No,57.6,58.9,1.3,0.1776,-136,Yes,Yes,0.74
2025-06-21,Ignacio Bahamondes,Rafael Fiziev,Yes,44.6,72.5,13.5,0.4502,124,No,No,-1.0
2025-06-21,Myktybek Orolbai,Tofiq Musayev,No,65.0,82.5,17.5,0.6506,-186,Yes,Yes,0.54
2025-06-21,Bogdan Grad,Muhammad Naimov,No,71.4,70.0,37.3,0.4008,-250,No,No,-1.0
2025-06-21,Daria Zhelezniakova,Melissa Mullins,Yes,32.8,63.5,30.7,0.2693,205,Yes,Yes,2.05
2025-06-14,Miranda Maverick,Rose Namajunas,No,71.0,58.4,25.0,0.1676,-245,No,No,-1.0
2025-06-14,Andre Petroski,Edmen Shahbazyan,No,62.7,52.4,11.1,0.0483,-168,No,No,-1.0
2025-06-14,Cody Durden,Jose Ochoa,No,67.2,54.3,17.5,0.0862,-205,No,No,-1.0
2025-06-07,MarQuel Mederos,Mark Choinski,No,60.6,83.2,22.6,0.6646,-154,Yes,Yes,0.65
2025-05-17,Michael Morales,Gilbert Burns,No,82.8,86.3,3.5,0.7255,-480,Yes,Yes,0.21
2025-05-17,Mairon Santos,Sodiq Yusuff,No,59.7,66.0,6.3,0.3205,-148,Yes,Yes,0.68
2025-05-10,Jack Della Maddalena,Belal Muhammad,Yes,37.6,56.5,18.9,0.1299,166,Yes,Yes,1.66
2025-05-10,Valentina Shevchenko,Manon Fiorot,Yes,46.3,57.1,10.8,0.1424,116,Yes,Yes,1.16
2025-05-10,Aiemann Zahabi,Jose Aldo,Yes,38.5,56.1,17.7,0.1228,160,Yes,Yes,1.6
2025-05-10,Natalia Silva,Alexa Grasso,No,70.1,71.4,1.2,0.4272,-235,Yes,Yes,0.43
2025-05-10,Mike Malott,Charles Radtke,No,66.7,73.4,6.7,0.4682,-200,Yes,Yes,0.5
2025-05-10,Jessica Andrade,Jasmine Jasudavicius,No,73.3,54.8,24.1,0.0965,-275,No,No,-1.0
2025-05-10,Ion Cutelaba,Modestas Bukauskas,Yes,51.5,61.0,8.6,0.2191,-106,No,No,-1.0
2025-05-10,Bruno Silva,Marc-Andre Barriault,No,61.8,57.2,14.9,0.1446,-162,No,No,-1.0
2025-05-10,Brad Katona,Bekzat Almakhan,No,58.7,60.8,15.4,0.2165,-142,No,No,-1.0
2025-05-03,Reinier de Ridder,Bo Nickal,Yes,25.3,55.6,30.3,0.1125,295,Yes,Yes,2.95
2025-05-03,Daniel Rodriguez,Santiago Ponzinibbio,Yes,45.9,57.2,11.3,0.1441,118,Yes,Yes,1.18
