Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-03-22,Chris Padilla,Jai Herbert,Yes,47.6,64.5,16.9,0.2903,110,Yes,Yes,1.1
2025-03-22,Mick Parkin,Marcin Tybura,Yes,41.3,67.2,4.5,0.3439,142,No,No,-1.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Yes,43.1,84.2,23.2,0.6835,132,No,No,-1.0
2025-03-15,Chidi Njokuani,Elizeu Zaleski dos Santos,Yes,37.9,52.4,14.5,0.0484,164,Yes,Yes,1.64
2025-03-08,Justin Gaethje,Rafael Fiziev,Yes,42.6,53.6,11.1,0.073,135,Yes,Yes,1.35
2025-03-01,Cody Brundage,Julian Marquez,No,53.7,62.0,8.3,0.2392,-116,Yes,Yes,0.86
2025-02-22,Julius Walker,Alonzo Menifield,No,70.1,62.3,28.3,0.2464,-235,No,No,-1.0
2025-02-22,Austin Vanderford,Nikolay Veretennikov,Yes,49.5,55.0,5.5,0.0998,102,Yes,Yes,1.02
2025-02-15,Gregory Rodrigues,Jared Cannonier,Yes,34.0,73.8,3.2,0.4761,194,No,No,-1.0
2025-02-15,Andre Petroski,Rodolfo Vieira,Yes,31.2,55.7,24.4,0.1135,220,Yes,Yes,2.2
2025-02-08,Tallison Teixeira,Justin Tafa,No,60.9,64.7,3.7,0.2931,-156,Yes,Yes,0.64
2025-02-08,Jack Jenkins,Gabriel Santos,No,69.2,55.7,21.0,0.1138,-225,No,No,-1.0
2025-02-08,Tom Nolan,Viacheslav Borshchev,Yes,50.5,63.4,12.9,0.2674,-102,Yes,Yes,0.98
2025-02-08,Rongzhu,Kody Steele,Yes,26.3,68.0,41.7,0.3595,280,Yes,Yes,2.8
2025-02-08,Jonathan Micallef,Kevin Jousset,Yes,35.7,51.0,15.3,0.0204,180,Yes,Yes,1.8
2025-02-01,Nassourdine Imavov,Israel Adesanya,Yes,42.7,54.7,12.0,0.0938,134,Yes,Yes,1.34
2025-02-01,Jairzinho Rozenstruik,Sergei Pavlovich,No,76.2,55.0,27.2,0.1003,-320,No,No,-1.0
2025-02-01,Vinicius Oliveira,Said Nurmagomedov,Yes,34.7,57.4,22.7,0.1482,188,Yes,Yes,1.88
2025-02-01,Fares Ziam,Mike Davis,Yes,45.0,72.2,27.2,0.4439,122,Yes,Yes,1.22
2025-02-01,Jamal Pogues,Hamdy Abdelwahab,No,59.7,50.1,5.8,0.0018,-148,No,No,-1.0
2025-01-18,Merab Dvalishvili,Umar Nurmagomedov,Yes,31.2,55.6,24.4,0.1122,220,Yes,Yes,2.2
2025-01-18,Ailin Perez,Karol Rosa,Yes,32.8,58.2,25.4,0.1632,205,Yes,Yes,2.05
2025-01-18,Ricky Turcios,Benardo Sopaj,No,74.7,50.2,20.8,0.0044,-295,No,No,-1.0
2025-01-18,Clayton Carpenter,Tagir Ulanbekov,No,79.6,53.0,28.6,0.0596,-390,No,No,-1.0
2025-01-11,Carlston Harris,Santiago Ponzinibbio,No,60.6,55.7,12.2,0.1142,-154,No,No,-1.0
2025-01-11,Christian Rodriguez,Austin Bashi,Yes,31.7,65.6,33.8,0.3116,215,Yes,Yes,2.15
2025-12-06,Joshua Van,Alexandre Pantoja,Yes,36.2,52.4,16.2,0.0478,176,Yes,Yes,1.76
2025-12-06,Tatsuro Taira,Brandon Moreno,No,53.7,58.7,5.0,0.1739,-116,Yes,Yes,0.86
2025-12-06,Payton Talbott,Henry Cejudo,No,71.4,81.7,10.3,0.634,-250,Yes,Yes,0.4
2025-12-06,Terrance McKinney,Chris Duncan,No,55.8,56.5,8.4,0.1299,-126,No,No,-1.0
2025-12-06,Fares Ziam,Nazim Sadykhov,No,65.3,72.7,7.4,0.4538,-188,Yes,Yes,0.53
2025-12-06,Marvin Vettori,Brunno Ferreira,Yes,48.1,59.1,2.6,0.1829,108,No,No,-1.0
2025-12-06,Edson Barboza,Jalin Turner,No,82.1,52.0,30.3,0.0403,-460,No,No,-1.0
2025-12-06,Ibo Aslan,Iwo Baraniewski,No,68.3,59.2,23.5,0.184,-215,No,No,-1.0
