date,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,error
2025-09-28,Jonathan Micallef,Oban Elliott,105,-125,0.42700000000000005,0.573,Oban Elliott,-125.0,0.573,-0.12464999999999987,0.03139999999999993,False
2025-09-28,Jamie Mullarkey,Rolando Bedoya,-134,114,0.5579999999999999,0.44200000000000006,Jamie Mullarkey,-134.0,0.5579999999999999,-0.025582089552238896,-0.054119999999999946,False
2025-09-28,Colby Thicknesse,Josias Musasa,134,-158,0.594,0.406,Colby Thicknesse,134.0,0.594,0.38996,-0.33703797468354424,False
2025-09-28,Luana Carolina,Michelle Montague,176,-210,0.34299999999999997,0.657,Michelle Montague,-210.0,0.657,-0.053320000000000034,-0.030142857142857138,False
2025-10-12,Charles Oliveira,Mateusz Gamrot,-108,-108,0.444,0.556,Mateusz Gamrot,-108.0,0.556,-0.14488888888888896,0.07081481481481489,False
2025-10-12,Deiveson Figueiredo,Montel Jackson,265,-330,0.287,0.7130000000000001,Montel Jackson,-330.0,0.7130000000000001,0.04754999999999987,-0.07093939393939383,False
2025-10-12,Joel Alvarez,Vicente Luque,-650,410,0.792,0.20799999999999996,Joel Alvarez,-650.0,0.792,-0.08615384615384611,0.06079999999999974,False
2025-10-18,Brendan Allen,Reinier de Ridder,184,-220,0.521,0.479,Brendan Allen,184.0,0.521,0.47964000000000007,-0.3032727272727273,False
2025-10-18,Kevin Holland,Mike Malott,-110,-106,0.48,0.52,Mike Malott,-106.0,0.52,-0.08363636363636368,0.010566037735849076,False
2025-10-18,Aiemann Zahabi,Marlon Vera,-132,112,0.696,0.30400000000000005,Aiemann Zahabi,-132.0,0.696,0.22327272727272718,-0.3555199999999999,False
2025-10-18,Jasmine Jasudavicius,Manon Fiorot,190,-230,0.276,0.724,Manon Fiorot,-230.0,0.724,-0.1996,0.03878260869565214,False
2025-10-18,Charles Jourdain,Davey Grant,-190,160,0.7440000000000001,0.2559999999999999,Charles Jourdain,-190.0,0.7440000000000001,0.1355789473684212,-0.33440000000000025,False
2025-10-18,Kyle Nelson,Matt Frevola,-132,112,0.637,0.363,Kyle Nelson,-132.0,0.637,0.11957575757575761,-0.23043999999999998,False
2025-10-18,Drew Dober,Kyle Prepolec,-330,265,0.596,0.404,Drew Dober,-330.0,0.596,-0.22339393939393942,0.4746,False
2025-10-18,Aoriqileng,Cody Gibson,160,-190,0.5429999999999999,0.4570000000000001,Aoriqileng,160.0,0.5429999999999999,0.41179999999999983,-0.30247368421052623,False
2025-10-18,Cody Gibson,Qileng Aori,-182,145,,,,,,,,True
2025-10-18,Bruno Silva,Hyunsung Park,188,-225,,,,,,,,True
2025-10-18,Danny Barlow,Djorden Santos,-250,205,0.491,0.509,Djorden Santos,205.0,0.509,-0.3126,0.55245,False
2025-10-18,Ravena Oliveira,Stephanie Luciano,265,-330,0.217,0.783,Stephanie Luciano,-330.0,0.783,-0.20795000000000008,0.02027272727272733,False
2025-10-18,Azamat Bekoev,Yousri Belgaroui,-295,240,0.307,0.6930000000000001,Yousri Belgaroui,240.0,0.6930000000000001,-0.5889322033898305,1.3562,False
2025-10-18,Melissa Croden,Tainara Lisboa,-132,112,0.779,0.22099999999999997,Melissa Croden,-132.0,0.779,0.36915151515151523,-0.5314800000000001,False
2025-10-25,Ciryl Gane,Tom Aspinall,315,-400,0.46399999999999997,0.536,Tom Aspinall,-400.0,0.536,0.9255999999999998,-0.32999999999999996,False
2025-10-25,Mackenzie Dern,Virna Jandiroba,-134,114,0.532,0.46799999999999997,Mackenzie Dern,-134.0,0.532,-0.0709850746268656,0.0015199999999998548,False
2025-10-25,Mario Bautista,Umar Nurmagomedov,460,-620,0.172,0.8280000000000001,Umar Nurmagomedov,-620.0,0.8280000000000001,-0.036800000000000166,-0.03845161290322574,False
2025-10-25,Alexander Volkov,Jailton Almeida,166,-198,0.34,0.6599999999999999,Jailton Almeida,-198.0,0.6599999999999999,-0.09559999999999991,-0.006666666666666765,False
2025-10-25,Aleksandar Rakic,Azamat Murzakanov,-118,100,0.314,0.6859999999999999,Azamat Murzakanov,100.0,0.6859999999999999,-0.41989830508474574,0.3719999999999999,False
2025-10-25,Nasrat Haqparast,Quillan Salkilld,102,-120,0.18100000000000002,0.819,Quillan Salkilld,-120.0,0.819,-0.6343799999999999,0.5015,False
2025-10-25,Ikram Aliskerov,Junyong Park,-230,190,0.633,0.367,Ikram Aliskerov,-230.0,0.633,-0.09178260869565219,0.06429999999999991,False
2025-10-25,Ludovit Klein,Mateusz Rebecki,-126,108,0.445,0.5549999999999999,Mateusz Rebecki,108.0,0.5549999999999999,-0.2018253968253968,0.15439999999999987,False
