f1_name,f2_name,market_prob_f1,gen_prob_f1,ud_prob_f1,blended_prob_f1,blended_edge,target,price_f1
Yanal Ashmouz,Quillan Salkilld,0.2325581395348837,0.3525220900774002,0.3143141,0.3276868902146816,0.09512875067979792,0,330
Gilbert Burns,Michael Morales,0.2127659574468085,0.0793618597090244,0.20470065,0.16083206962794064,-0.051933887818867874,0,370
Jack Della Maddalena,Belal Muhammad,0.3759398496240601,0.6388552635908127,0.62871355,0.6322631217539311,0.256323272129871,1,166
Aiemann Zahabi,Jose Aldo,0.3846153846153846,0.5243987143039703,0.62213093,0.5879246398806572,0.20330925526527266,1,160
Alexa Grasso,Natalia Silva,0.3401360544217687,0.1948757097125053,0.30604982,0.2671388778835535,-0.07299717653821519,0,194
Kyle Prepolec,Benoit Saint Denis,0.1075268817204301,0.140191800892353,0.14731468,0.1448216717690229,0.03729479004859282,0,830
Charles Radtke,Mike Malott,0.373134328358209,0.3310346752405166,0.32649487,0.3280837886035442,-0.045050539754664776,0,168
Jessica Andrade,Jasmine Jasudavicius,0.3076923076923077,0.4541516602039337,0.30299795,0.35590174347162246,0.04820943577931475,0,225
Ivan Erslan,Navajo Stirling,0.273972602739726,0.2892201840877533,0.2583343,0.2691443607211113,-0.0048282420186147035,0,265
Deiveson Figueiredo,Cory Sandhagen,0.2,0.2740139365196228,0.2595457,0.2646095812320709,0.06460958123207089,0,400
Reinier de Ridder,Bo Nickal,0.2531645569620253,0.5833258926868439,0.63294053,0.6155753776431083,0.36241082068108305,1,295
Daniel Marcos,Montel Jackson,0.3472222222222222,0.2527799010276794,0.5181702,0.4252835541963577,0.0780613319741355,0,188
Jeremy Stephens,Mason Jones,0.1785714285714285,0.3231262564659118,0.096265055,0.17566647529602047,-0.0029049532754080176,0,460
Ryan Loder,Azamat Bekoev,0.273972602739726,0.4029117077589035,0.41485906,0.4106774844229221,0.1367048816831961,0,265
Marina Rodriguez,Gillian Robertson,0.3125,0.3861739486455917,0.299261,0.32968052104115486,0.01718052104115486,0,220
Anthony Smith,Zhang Mingyang,0.2531645569620253,0.2329157218337059,0.286954,0.26804058738052844,0.014876030418503161,0,295
Giga Chikadze,David Onama,0.3759398496240601,0.5088707208633423,0.41285202,0.44645854234695437,0.0705186927228943,0,166
Nicolas Dalby,Randy Brown,0.2777777777777778,0.3757384270429611,0.3104082,0.33327377811074255,0.05549600033296476,0,260
Andre Muniz,Ikram Aliskerov,0.2272727272727272,0.4775862842798233,0.17362857,0.28001376315951343,0.05274103588678622,0,340
Gauge Young,Evan Elder,0.3571428571428571,0.4649887531995773,0.6061113,0.5567184008657932,0.19957554372293607,0,180
Josh Emmett,Lerone Murphy,0.2777777777777778,0.2336907759308815,0.25805113,0.24952499382197857,-0.02825278395579922,0,260
Pat Sabatini,Joanderson Brito,0.3676470588235294,0.3070908933877945,0.48819625,0.4248093716800213,0.057162312856491926,1,172
Ode Osbourne,Luis Gurule,0.3225806451612903,0.5591329485177994,0.70038897,0.6509493581950665,0.3283687130337762,1,210
Diana Belbita,Dione Barbosa,0.1204819277108433,0.4123926609754562,0.21000487,0.28084059134125705,0.16035866363041373,0,730
Steve Erceg,Brandon Moreno,0.3448275862068966,0.3434744626283645,0.3732137,0.36280496940016743,0.017977383193270857,0,190
CJ Vergara,Edgar Chairez,0.3125,0.472229465842247,0.39658833,0.42306271269917484,0.11056271269917484,0,220
Vince Morales,Raul Rosas Jr.,0.2127659574468085,0.1845465749502182,0.2798954,0.24652330353856086,0.03375734609175235,0,370
Jan Blachowicz,Carlos Ulberg,0.273972602739726,0.1954312995076179,0.4072538,0.3331159111112356,0.059143308371509606,0,265
Molly McCann,Alexia Thainara,0.3472222222222222,0.4025157243013382,0.33356848,0.3577000133693218,0.010477791147099569,0,188
Chris Duncan,Jordan Vucenic,0.273972602739726,0.5405553132295609,0.73552364,0.6672847054898738,0.39331210275014783,1,265
Felipe dos Santos,Lone'er Kavanagh,0.3225806451612903,0.4891106635332107,0.4560048,0.46759184226393696,0.14501119710264665,0,210
Andrey Pulyaev,Christian Leroy Duncan,0.238095238095238,0.399897351861,0.35794955,0.37263128086924546,0.13453604277400746,0,320
Puja Tomar,Shauna Bannon,0.3623188405797101,0.497849777340889,0.46714568,0.47789210900664325,0.11557326842693316,0,176
Chidi Njokuani,Elizeu Zaleski dos Santos,0.3787878787878788,0.5659484714269638,0.74924344,0.6850901789963245,0.30630230020844573,1,164
Kurt Holobaugh,Alexander Hernandez,0.373134328358209,0.4052303582429886,0.36950296,0.3820075415074825,0.008873213149273529,0,168
Cody Gibson,Da'Mon Blackshear,0.2222222222222222,0.4316819757223129,0.27162132,0.3276425369083881,0.10542031468616592,0,350
King Green,Mauricio Ruffy,0.2,0.395729586482048,0.42403027,0.4141250111162662,0.2141250111162662,0,400
Ozzy Diaz,Djorden Santos,0.3759398496240601,0.3357832729816437,0.78644854,0.6287156924605369,0.25277584283647686,1,166
Nasrat Haqparast,Esteban Ribovics,0.3174603174603174,0.4013668149709701,0.5242361,0.48123182132840153,0.16377150386808415,1,215
