date,main_fight_id,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,winner,pick_correct,actual_pnl,bet,skip_reason,error,female
2025-08-02,189.0,Andrey Pulyaev,Nick Klein,-126,108,0.25786805152893066,0.7421319484710693,Nick Klein,108.0,0.7421319484710693,-0.5374747647179497,0.5436344528198243,Andrey Pulyaev,False,-1.0,False,min_fights,False,False
2025-08-02,190.0,Austin Bashi,John Yannis,-1150,730,0.8635268919169903,0.13647310808300972,Austin Bashi,-1150.0,0.8635268919169903,-0.06138381313370622,0.1327267970889806,Austin Bashi,True,0.08695652173913043,False,min_fights,False,False
2025-08-02,191.0,Felipe Bunes,Rafael Estevam,490,-670,0.33376291394233704,0.666237086057663,Rafael Estevam,-670.0,0.666237086057663,0.9692011922597887,-0.23432454288895452,Rafael Estevam,True,0.14925373134328357,False,favorite cap (-670 <= -300),False,False
2025-08-02,192.0,Ketlen Souza,Piera Rodriguez,210,-255,0.32585328817367554,0.6741467118263245,Piera Rodriguez,-255.0,0.6741467118263245,0.010145193338394143,-0.06148202863394048,Piera Rodriguez,True,0.39215686274509803,False,edge (-4.4% < 5.0%),False,True
2025-08-02,,Amir Albazi,Tatsuro Taira,220,-275,0.30138812959194183,0.6986118704080582,Tatsuro Taira,-275.0,0.6986118704080582,-0.03555798530578613,-0.047347449443557066,,,,False,edge (-3.5% < 5.0%),False,False
2025-08-09,,Anthony Hernandez,Roman Dolideze,-330,265,,,,,,,,,,,False,min_fights,True,
2025-08-09,170.0,Ode Osbourne,Steve Erceg,440,-590,0.37325187027454376,0.6267481297254562,Steve Erceg,-590.0,0.6267481297254562,1.0155600994825364,-0.2670233737109071,Steve Erceg,True,0.1694915254237288,False,favorite cap (-590 <= -300),False,False
2025-08-09,171.0,Angela Hill,Iasmin Lucindo,144,-172,0.31777045130729675,0.6822295486927032,Iasmin Lucindo,-172.0,0.6822295486927032,-0.22464009881019592,0.07887463514194937,Iasmin Lucindo,True,0.5813953488372093,False,edge (5.0% < 5.0%),False,True
2025-08-09,172.0,Andre Fili,Christian Rodriguez,205,-250,0.2515029162168503,0.7484970837831497,Christian Rodriguez,-250.0,0.7484970837831497,-0.23291610553860664,0.04789591729640963,Andre Fili,False,-1.0,False,edge (3.4% < 5.0%),False,False
2025-08-09,173.0,Jean Matsumoto,Miles Johns,-260,215,0.6729357242584229,0.32706427574157715,Jean Matsumoto,-260.0,0.6729357242584229,-0.06824284333449143,0.030252468585967973,Jean Matsumoto,True,0.38461538461538464,False,edge (-4.9% < 5.0%),False,False
2025-08-09,174.0,Christian Leroy Duncan,Eryk Anders,-490,380,0.6749561578035355,0.32504384219646454,Christian Leroy Duncan,-490.0,0.6749561578035355,-0.18729768754268178,0.5602104425430297,Christian Leroy Duncan,True,0.20408163265306123,False,favorite cap (-490 <= -300),False,False
2025-08-09,,Julius Walker,Raffael Cerqueira,-750,530,,,,,,,,,,,False,min_fights,True,
2025-08-09,176.0,Elijah Smith,Toshiomi Kazama,-820,570,0.7956713140010834,0.20432868599891663,Elijah Smith,-820.0,0.7956713140010834,-0.10729559892561377,0.36900219619274144,Elijah Smith,True,0.12195121951219512,False,min_fights,False,False
2025-08-09,177.0,Joselyne Edwards,Priscila Cachoeira,-420,330,0.74746123701334,0.25253876298666,Joselyne Edwards,-420.0,0.74746123701334,-0.07457180179300762,0.08591668084263793,Joselyne Edwards,True,0.23809523809523808,False,favorite cap (-420 <= -300),False,True
2025-08-09,178.0,Gilbert Urbina,Uros Medic,270,-335,0.44487959146499634,0.5551204085350037,Uros Medic,-335.0,0.5551204085350037,0.6460544884204866,-0.27917200682768184,Uros Medic,True,0.29850746268656714,False,favorite cap (-335 <= -300),False,False
2025-08-09,179.0,Gabriella Fernandes,Julija Stoliarenko,-450,350,0.6454369574785233,0.35456304252147675,Gabriella Fernandes,-450.0,0.6454369574785233,-0.21113260752624938,0.5955336913466454,Gabriella Fernandes,True,0.2222222222222222,False,favorite cap (-450 <= -300),False,True
2025-08-09,180.0,Cody Brundage,Eric McConico,-230,190,0.8164523839950562,0.18354761600494385,Cody Brundage,-230.0,0.8164523839950562,0.171431681384211,-0.46771191358566283,Eric McConico,False,-1.0,False,min_fights,False,False
2025-09-06,132.0,Caio Borralho,Nassourdine Imavov,-132,112,0.5861554741859436,0.4138445258140564,Caio Borralho,-132.0,0.5861554741859436,0.030212651599537232,-0.12264960527420038,Nassourdine Imavov,False,-1.0,False,favorite confidence (58.6% < 65.0%),False,False
2025-09-06,,Benoit Saint-Denis,Mauricio Ruffy,146,-174,,,,,,,,,,,False,min_fights,True,
2025-09-06,134.0,Modestas Bukauskas,Paul Craig,-335,270,0.5312054753303528,0.4687945246696472,Modestas Bukauskas,-335.0,0.5312054753303528,-0.3102257260635718,0.7345397412776948,Modestas Bukauskas,True,0.29850746268656714,False,favorite cap (-335 <= -300),False,False
2025-09-06,135.0,Bolaji Oki,Mason Jones,126,-148,0.3826170116662979,0.6173829883337021,Mason Jones,-148.0,0.6173829883337021,-0.13528555363416672,0.03453365612674403,Mason Jones,True,0.6756756756756757,False,favorite confidence (61.7% < 65.0%),False,False
2025-09-06,136.0,Axel Sola,Rhys McKee,-136,116,0.4851968288421631,0.5148031711578369,Rhys McKee,116.0,0.5148031711578369,-0.15804079700918755,0.11197484970092775,Axel Sola,False,-1.0,False,min_fights,False,False
2025-09-06,137.0,Robert Ruchala,William Gomis,220,-270,0.2571765407919884,0.7428234592080116,William Gomis,-270.0,0.7428234592080116,-0.17703506946563718,0.01794325891468257,William Gomis,True,0.37037037037037035,False,min_fights,False,False
