date,main_fight_id,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,winner,pick_correct,actual_pnl,bet,skip_reason,error,female,odds_source_file,odds_source_line,odds_source_type,odds_source_row,source_event_id,source_url,scraped_at,bookmaker,odds_timestamp,odds_is_opening_line,odds_is_closing_line
2026-02-01,,Keiichiro Nakamura,Sebastian Szalay,102,-125,0.29127615690231323,0.7087238430976868,Sebastian Szalay,-125.0,0.7087238430976868,-0.41162216305732724,0.2757029175758362,Keiichiro Nakamura,False,-1.0,False,min_fights,False,False,backtest/odds/ufc_2026_odds_custom.csv,13,,,,,,,,,
2026-02-01,,Dom Mar Fan,Kim Sang Wook,-165,136,0.6793854683637619,0.3206145316362381,Dom Mar Fan,-165.0,0.6793854683637619,0.09113423706907214,-0.24334970533847805,Dom Mar Fan,True,0.6060606060606061,False,min_fights,False,False,backtest/odds/ufc_2026_odds_custom.csv,14,,,,,,,,,
2026-02-01,,Kaan Ofli,Yizha,205,-250,0.43219809234142303,0.567801907658577,Yizha,-250.0,0.567801907658577,0.31820418164134023,-0.20507732927799224,Kaan Ofli,False,-1.0,False,favorite confidence (56.8% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,15,,,,,,,,,
2026-02-01,,Jonathan Micallef,Oban Elliott,-126,106,0.5816639959812164,0.41833600401878357,Jonathan Micallef,-126.0,0.5816639959812164,0.0433020880298009,-0.13822783172130582,Jonathan Micallef,True,0.7936507936507936,False,favorite confidence (58.2% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,16,,,,,,,,,
2026-02-01,,Jacob Malkoun,Torrez Finney,-142,118,0.5056830644607544,0.4943169355392456,Jacob Malkoun,-142.0,0.5056830644607544,-0.13820210141195383,0.07761091947555543,Jacob Malkoun,True,0.704225352112676,False,favorite confidence (50.6% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,17,,,,,,,,,
2026-02-01,,Billy Elekana,Junior Tafa,-270,220,0.5443117171525955,0.4556882828474045,Billy Elekana,-270.0,0.5443117171525955,-0.2540913505686654,0.45820250511169447,Billy Elekana,True,0.37037037037037035,False,favorite confidence (54.4% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,18,,,,,,,,,
2026-02-01,,Jamie Mullarkey,Quillan Salkilld,700,-910,0.14407136291265488,0.8559286370873451,Quillan Salkilld,-910.0,0.8559286370873451,0.152570903301239,-0.050013270925034534,Quillan Salkilld,True,0.10989010989010989,False,favorite cap (-910 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,19,,,,,,,,,
2026-02-01,,Tai Tuivasa,Tallison Teixeira,250,-315,0.37931010127067566,0.6206898987293243,Tallison Teixeira,-315.0,0.6206898987293243,0.3275853544473648,-0.18226568897565207,Tallison Teixeira,True,0.31746031746031744,False,favorite cap (-315 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,20,,,,,,,,,
2026-02-01,,Mauricio Ruffy,Rafael Fiziev,105,-125,0.3889259397983551,0.6110740602016449,Rafael Fiziev,-125.0,0.6110740602016449,-0.202701823413372,0.09993330836296083,Mauricio Ruffy,False,-1.0,False,favorite confidence (61.1% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,21,,,,,,,,,
2026-02-01,,Benoit Saint Denis,Dan Hooker,-400,310,0.7322808504104614,0.2677191495895386,Benoit Saint Denis,-400.0,0.7322808504104614,-0.08464893698692322,0.09764851331710822,Benoit Saint Denis,True,0.25,False,favorite cap (-400 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,22,,,,,,,,,
